Severity	Code	Description	Project	File	Line	Suppression State
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Formula	D:\source\repos\LYBTZYZS\src\Client\Desktop\Modules\Formula\Views\AddFormulaDialog.xaml.cs	39	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Formula	D:\source\repos\LYBTZYZS\src\Client\Desktop\Modules\Formula\Views\EditFormulaDialog.xaml.cs	40	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Formula	D:\source\repos\LYBTZYZS\src\Client\Desktop\Modules\Formula\Views\ViewFormulaDialog.xaml.cs	40	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Herbs	D:\source\repos\LYBTZYZS\src\Client\Desktop\Modules\Herbs\ViewModels\HerbDetailViewModel.cs	261	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Herbs	D:\source\repos\LYBTZYZS\src\Client\Desktop\Modules\Herbs\Views\HerbAddEditDialog.xaml.cs	39	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.MedicalCase	D:\source\repos\LYBTZYZS\src\Client\Desktop\Modules\MedicalCase\ViewModels\MedicalCaseListViewModel.cs	152	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.MedicalCase	D:\source\repos\LYBTZYZS\src\Client\Desktop\Modules\MedicalCase\ViewModels\MedicalCaseManagementViewModel.cs	163	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Patients	D:\source\repos\LYBTZYZS\src\Client\Desktop\Modules\Patients\ViewModels\PatientManagementViewModel.cs	188	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Patients	D:\source\repos\LYBTZYZS\src\Client\Desktop\Modules\Patients\Views\PatientAddEditDialog.xaml.cs	38	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Prescriptions	D:\source\repos\LYBTZYZS\src\Client\Desktop\Modules\Prescriptions\ViewModels\FormulaTemplateDialogViewModel.cs	166	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Prescriptions	D:\source\repos\LYBTZYZS\src\Client\Desktop\Modules\Prescriptions\ViewModels\HerbSelectionDialogViewModel.cs	219	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Users	D:\source\repos\LYBTZYZS\src\Client\Desktop\Modules\Users\Views\UserAddEditDialog.xaml.cs	38	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Shell	D:\source\repos\LYBTZYZS\src\Client\Desktop\Shell\App.xaml.cs	207	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Shell	D:\source\repos\LYBTZYZS\src\Client\Desktop\Shell\Dialogs\Views\ErrorDetailsDialog.xaml.cs	41	
Warning (active)	SA1202	'public' members should come before 'internal' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Http\ApiService.cs	324	
Warning (active)	SA1202	'public' members should come before 'internal' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Services\Configuration\FeatureToggleService.cs	779	
Warning (active)	SA1202	'public' members should come before 'internal' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Services\KeyboardShortcutService.cs	298	
Warning (active)	SA1202	'public' members should come before 'internal' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Services\SmartLoadingManager.cs	478	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Shared.Models	D:\source\repos\LYBTZYZS\src\Shared\LYBT.Shared.Models\Extensions\StringExtensions.cs	30	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Shared.Utilities	D:\source\repos\LYBTZYZS\src\Shared\LYBT.Shared.Utilities\Helpers\CommonHelper.cs	535	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Shared.Utilities	D:\source\repos\LYBTZYZS\src\Shared\LYBT.Shared.Utilities\Helpers\CommonHelper.cs	555	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Shared.Utilities	D:\source\repos\LYBTZYZS\src\Shared\LYBT.Shared.Utilities\Helpers\PasswordHelper.cs	116	
